HSNCode,CGSTRate,SGSTRate,IGSTRate
0202,2.5,2.5,5
0203,2.5,2.5,5
0204,2.5,2.5,5
0205,2.5,2.5,5
0206,2.5,2.5,5
0207,2.5,2.5,5
0208,2.5,2.5,5
0209,2.5,2.5,5
0210,2.5,2.5,5
0303,2.5,2.5,5
0304,2.5,2.5,5
0305,2.5,2.5,5
0306,2.5,2.5,5
0307,2.5,2.5,5
0308,2.5,2.5,5
0401,2.5,2.5,5
0402,2.5,2.5,5
0403,2.5,2.5,5
0404,2.5,2.5,5
0406,2.5,2.5,5
0408,2.5,2.5,5
0409,2.5,2.5,5
0410,2.5,2.5,5
0502,2.5,2.5,5
0504,2.5,2.5,5
0505,2.5,2.5,5
0507,2.5,2.5,5
0508,2.5,2.5,5
0510,2.5,2.5,5
0511,2.5,2.5,5
07,2.5,2.5,5
0713,2.5,2.5,5
0714,2.5,2.5,5
0801,2.5,2.5,5
0802,2.5,2.5,5
0813,2.5,2.5,5